type,id,name,location,products,stationDHID,latitude,longitude,address
stop,900013101.0,U Moritzplatz (Berlin),"{'type': 'location', 'id': '900013101', 'latitude': 52.503737, 'longitude': 13.410944}","{'suburban': False, 'subway': True, 'tram': False, 'bus': True, 'ferry': False, 'express': False, 'regional': False}",de:11000:900013101,,,
location,,,,,,51.630893,13.706222,"03238 Finsterwalde, Moritzplatz"
